Brand,Model,Ratings,Rated By,CC or Watt,Fuel Type,Start Price,Top Model Price,bhp,Weight
22Kymco, Flow,4.1,25.0,2100.0,Electric,74740.0,,,
22Kymco, iFlow,3.7,7.0,2100.0,Electric,90000.0,,,
Honda, Activa 6G,3.9,921.0,109.51,Petrol,67843.0,71089.0,7.79,107.0
Honda, Shine,4.0,694.0,124.0,Petrol,71550.0,76346.0,10.74,114.0
Honda, Dio,4.1,642.0,109.51,Petrol,63273.0,69171.0,7.76,103.0
Honda, SP 125,4.0,610.0,124.0,Petrol,77145.0,81441.0,10.8,117.0
Honda, Unicorn,4.1,393.0,162.7,Petrol,97356.0,,12.91,140.0
Honda, Activa 125,3.9,980.0,124.0,Petrol,71674.0,78797.0,8.29,111.0
Honda, Livo,4.1,181.0,109.51,Petrol,69971.0,74171.0,8.79,115.0
Honda, CD 110 Dream,4.0,109.0,109.51,Petrol,64421.0,65421.0,8.79,112.0
Honda, Grazia,3.9,123.0,124.0,Petrol,75859.0,84185.0,8.25,108.0
Bajaj, Pulsar 150,4.0,7053.0,149.5,Petrol,95872.0,1.04,,150.0
Bajaj, Pulsar 125 Neon,3.8,703.0,124.4,Petrol,73363.0,82989.0,11.8,142.0
Bajaj, CT100,3.9,952.0,102.0,Petrol,44890.0,47654.0,7.9,115.0
Bajaj, Platina 100,4.0,822.0,102.0,Petrol,52915.0,63578.0,7.9,117.0
Bajaj, Pulsar NS 125,3.9,49.0,124.4,Petrol,93690.0,,11.99,144.0
Bajaj, CT110,4.0,204.0,115.0,Petrol,54138.0,55494.0,8.6,118.0
Bajaj, Platina 110 H Gear,4.2,270.0,115.45,Petrol,59859.0,,8.6,122.0
Bajaj, Platina 110,4.1,350.0,115.45,Petrol,65926.0,,8.6,123.0
Revolt, RV300,3.9,94.0,1500.0,Electric,94999.0,,,101.0
TVS, Jupiter,4.0,2311.0,109.7,Petrol,64437.0,73737.0,7.47,107.0
TVS, NTORQ 125,4.1,2120.0,124.8,Petrol,71095.0,81075.0,9.38,118.0
TVS, XL100,3.8,407.0,99.7,Petrol,41015.0,50384.0,4.4,
TVS, Sport,3.8,662.0,109.7,Petrol,56130.0,62980.0,8.29,110.0
TVS, Radeon,3.9,261.0,109.7,Petrol,61242.0,68567.0,8.19,116.0
TVS, Scooty Pep Plus,3.8,374.0,87.8,Petrol,56009.0,58759.0,5.4,
TVS, Star City Plus,4.1,555.0,109.7,Petrol,66895.0,69465.0,8.19,115.0
TVS, Scooty Zest,3.9,137.0,109.7,Petrol,61345.0,64980.0,7.81,103.0
Hero, Splendor Plus,4.0,6423.0,97.2,Petrol,62535.0,67845.0,8.02,112.0
Hero, HF Deluxe,3.9,1055.0,97.2,Petrol,49400.0,61975.0,8.02,112.0
Hero, Passion Pro,3.9,1192.0,113.0,Petrol,68150.0,72150.0,9.15,117.0
Hero, Super Splendor,3.9,1204.0,124.7,Petrol,71100.0,74600.0,10.8,122.0
Hero, Glamour,3.9,2588.0,124.7,Petrol,73200.0,78500.0,10.87,122.0
Hero, Pleasure Plus,4.5,438.0,110.9,Petrol,58900.0,64100.0,8.1,104.0
Hero, Maestro Edge 125,4.1,445.0,125.0,Petrol,70850.0,74350.0,9.12,112.0
Hero, Splendor iSmart,3.8,235.0,113.2,Petrol,67250.0,69450.0,9.15,117.0
Hero, Destini 125,4.3,588.0,124.6,Petrol,67990.0,73390.0,9.1,113.0
Hero, Maestro Edge 110,3.7,89.0,110.9,Petrol,62750.0,65750.0,8.15,112.0
Yamaha, Fascino 125 ,4.1,199.0,125.0,Petrol,72030.0,75530.0,8.2,
Yamaha, RayZR 125,4.2,201.0,125.0,Petrol,73330.0,77330.0,8.2,
Suzuki, Access 125,4.1,807.0,124.0,Petrol,71000.0,80200.0,8.7,104.0
Suzuki, Burgman Street,4.4,557.0,124.0,Petrol,82700.0,86200.0,8.7,110.0
Hero, Electric Optima LA,3.6,38.0,250.0,Electric,44990.0,,,
Hero, Electric Flash,3.4,44.0,250.0,Electric,39990.0,52990.0,,
Hero, Electric Optima HS500 ER,3.7,30.0,550.0,Electric,71990.0,,,
Hero, Electric NYX,3.6,11.0,250.0,Electric,63990.0,79990.0,,
Hero, Electric Photon,3.1,21.0,1000.0,Electric,61866.0,72990.0,,116.0
Hero, Electric Optima Li,3.2,12.0,550.0,Electric,61990.0,68721.0,,
Hero, Electric Dash,4.5,14.0,250.0,Electric,50000.0,62000.0,,
Hero, Electric Optima E5,4.0,21.0,550.0,Electric,66551.0,,,
Vespa, LX 125,4.0,46.0,124.45,Petrol,96615.0,,9.92,115.0
Vespa, Notte 125,4.1,34.0,124.45,Petrol,93144.0,,9.92,115.0
Vespa, Urban Club 125,3.9,6.0,124.45,Petrol,94821.0,,9.92,115.0
Aprilia, Storm 125,4.0,56.0,124.45,Petrol,87082.0,92601.0,9.92,118.0
Aprilia, SR 125,4.0,77.0,124.45,Petrol,94288.0,96811.0,9.92,118.0
White, Carbon Motors O3,,,250.0,Electric,55900.0,,,
Lohia, Oma Star,,,250.0,Electric,41444.0,,,
Lohia, Oma Star Li,1.0,1.0,250.0,Electric,51750.0,,,
YObykes, Drift,4.1,6.0,250.0,Electric,51000.0,,,
YObykes, Edge,3.8,3.0,250.0,Electric,49000.0,,,
Okinawa, PraisePro,3.5,32.0,2500.0,Electric,79277.0,,,
Okinawa, R30,3.5,15.0,250.0,Electric,58992.0,,,
Okinawa, Ridge,3.8,37.0,1700.0,Electric,73417.0,,,
Okinawa, Dual,3.7,5.0,250.0,Electric,58992.0,,,
Okinawa, Lite,4.7,24.0,250.0,Electric,63990.0,,,
Li-ions, Elektrik Solutions Spock Electric Scooter,3.8,32.0,2000.0,Electric,65000.0,,,
Royal, Enfield Classic 350,4.0,9643.0,346.0,Petrol,172000.0,198000.0,19.36,195.0
Royal, Enfield Bullet 350,4.0,3601.0,346.0,Petrol,134000.0,155000.0,19.36,191.0
Royal, Enfield Himalayan,4.3,371.0,411.0,Petrol,201000.0,208000.0,24.31,199.0
Royal, Enfield Meteor 350,4.2,188.0,349.0,Petrol,184000.0,199000.0,20.4,
Royal, Enfield Interceptor 650,4.2,453.0,648.0,Petrol,275000.0,297000.0,47.65,202.0
Royal, Enfield Continental GT 650,4.3,314.0,648.0,Petrol,291000.0,313000.0,47.65,202.0
Honda, Hornet 2,4.2,174.0,184.4,Petrol,129000.0,131000.0,17.26,142.0
Honda, Hness CB350,4.4,129.0,348.36,Petrol,186000.0,192000.0,21.07,181.0
Honda, XBlade,4.2,134.0,162.71,Petrol,109000.0,113000.0,13.8,144.0
Honda, Gold Wing,4.4,24.0,1833.0,Petrol,3720000.000000001,3916000.0,126.4,379.0
Honda, CBR650R,4.5,24.0,648.72,Petrol,888000.0000000001,,87.01,208.0
Honda, CB350RS,4.1,16.0,348.36,Petrol,189000.0,195000.0,21.07,179.0
Honda, CB650R,5.0,1.0,648.72,Petrol,867000.0,,87.01,202.5
Honda, CB500X,3.6,4.0,471.03,Petrol,687000.0,,47.5,199.0
Honda, CRF1100L Africa Twin,3.6,8.0,1082.96,Petrol,1596000.0,1750000.0,99.2,239.0
Bajaj, Pulsar 220 F,4.2,2552.0,220.0,Petrol,128000.0,,20.4,160.0
Bajaj, Pulsar NS200,4.2,2455.0,199.5,Petrol,135000.0,,24.5,156.0
Bajaj, Pulsar RS200,4.2,1364.0,199.5,Petrol,157000.0,,24.5,166.0
Bajaj, Pulsar 180,4.1,948.0,178.6,Petrol,109000.0,,17.02,151.0
Bajaj, Pulsar NS160,4.2,788.0,160.3,Petrol,111000.0,,17.2,151.0
Bajaj, Dominar 400,4.3,777.0,373.3,Petrol,207000.0,,,187.0
Bajaj, Chetak,4.1,124.0,4080.0,Electric,100000.0,115000.0,,
Bajaj, Avenger Cruise 220,4.2,952.0,220.0,Petrol,127000.0,,19.03,163.0
Bajaj, Avenger Street 160,4.1,498.0,160.0,Petrol,104000.0,,,156.0
Bajaj, Dominar 250,4.3,166.0,248.77,Petrol,170000.0,,,180.0
KTM, 200 Duke,4.1,2024.0,199.5,Petrol,181000.0,,25.83,
KTM, RC 200,4.1,1114.0,199.5,Petrol,204000.0,,,
KTM, RC 390,4.1,628.0,373.3,Petrol,260000.0,,43.5,
KTM, 125 Duke,4.0,942.0,124.7,Petrol,162000.0,,14.5,159.0
