Brand,CC,Milage in kmpl,Fuel Type,Ratings,Rated By,Base Model Price,Top Model Price,Model
Maruti,1197.0,23.0, Petrol,4.0,177.0,573000.0,841000.0, Suzuki Swift
Maruti,1462.0,19.0, Petrol,4.0,278.0,751000.0,1141000.0, Suzuki Vitara Brezza
Maruti,1197.0,24.0, Petrol,4.1,2100.0,598000.0,930000.0, Suzuki Baleno
Maruti,1197.0,24.0, Petrol,4.0,771.0,598000.0,902000.0, Suzuki Dzire
Maruti,1462.0,19.0, Petrol  CNG,4.0,1709.0,781000.0,1059000.0, Suzuki Ertiga
Maruti,998.0,22.0, Petrol  CNG,3.9,3780.0,480000.0,633000.0, Suzuki Wagon R
Maruti,796.0,22.0, Petrol  CNG,3.7,3400.0,299000.0,460000.0, Suzuki Alto 800
Maruti,998.0,22.0, Petrol  CNG,3.9,975.0,465000.00000000006,590000.0, Suzuki Celerio
Maruti,1462.0,19.0, Petrol,4.3,185.0,994000.0,1173000.0, Suzuki XL6
Maruti,1462.0,18.0, Petrol,4.2,92.0,839000.0,1239000.0, Suzuki S-Cross
Maruti,998.0,22.0, Petrol  CNG,4.0,307.0,378000.0,526000.0, Suzuki S-Presso
Maruti,1197.0,21.0, Petrol,4.2,499.0,495000.0,736000.0, Suzuki Ignis
Maruti,1462.0,21.0, Petrol,4.3,967.0,852000.0,1150000.0, Suzuki Ciaz
Maruti,1196.0,16.0, Petrol  CNG,3.7,743.0,408000.0,529000.0, Suzuki Eeco
Maruti,998.0,22.0, Petrol,3.9,166.0,511000.00000000006,591000.0, Suzuki Celerio X
Maruti,1197.0,20.0, Petrol  CNG,4.0,69.0,576000.0,640000.0, Suzuki Swift Dzire Tour
Honda,1498.0,24.0, Petrol  Diesel,4.3,570.0,1099000.0,1494000.0, City
Honda,1199.0,25.0, Petrol  Diesel,4.1,1320.0,622000.0,999000.0, Amaze
Honda,1199.0,24.0, Petrol  Diesel,4.3,131.0,861999.9999999999,1105000.0, WR-V
Honda,1199.0,17.0, Petrol,4.2,112.0,755000.0,979000.0, Jazz
Honda,1497.0,17.0, Petrol,4.3,1761.0,929000.0,999000.0, City 4th Generation
Mahindra,1997.0,15.0, Petrol  Diesel,4.3,117.0,1211000.0,1416000.0, Thar
Mahindra,2179.0,, Diesel,4.0,1677.0,1231000.0,1702000.0, Scorpio
Mahindra,1498.0,16.0, Diesel,3.9,262.0,840000.0,939000.0, Bolero
Mahindra,1197.0,20.0, Petrol  Diesel,4.3,434.0,795000.0,1309000.0, XUV300
Mahindra,2179.0,15.0, Diesel,4.3,1205.0,1552000.0,2003000.0, XUV500
Mahindra,1497.0,17.0, Diesel,4.3,179.0,1203000.0,1412000.0, Marazzo
Mahindra,1198.0,18.0, Petrol,3.9,305.0,605000.0,771000.0, KUV100 NXT
Mahindra,2157.0,12.0, Diesel,4.2,73.0,2873000.0,3173000.0, Alturas G4
Mahindra,2000.0,, Electric,3.4,17.0,1015000.0,1049000.0, E Verito
Mahindra,2523.0,, Diesel,3.7,138.0,809000.0,835000.0, Bolero Pik-Up
Jeep,1368.0,, Petrol  Diesel,4.3,23.0,1719000.0000000002,2849000.0, Compass
Jeep,1998.0,12.0, Petrol,4.3,21.0,5390000.0,5790000.0, Wrangler
Jeep,1956.0,16.0, Diesel,4.6,19.0,2680000.0,2760000.0, Compass Trailhawk
Tata,1199.0,22.0, Petrol  Diesel,4.5,559.0,719000.0,1295000.0, Nexon
Tata,1956.0,17.0, Diesel,4.5,332.0,1429000.0,2081000.0, Harrier
Tata,1199.0,25.0, Petrol  Diesel,4.5,361.0,579000.0,955000.0, Altroz
Tata,1199.0,24.0, Petrol,4.3,590.0,499000.0,695000.0, Tiago
Tata,1199.0,20.0, Petrol,4.3,160.0,559000.0,773000.0, Tigor
Tata,2956.0,, Diesel,3.9,27.0,694000.0,749000.0, Yodha Pickup
Tata,2000.0,, Electric,4.3,12.0,958000.0,990000.0, Tigor EV
Tata,1956.0,, Diesel,4.6,35.0,1499000.0,2181000.0, Safari
Tata,2000.0,, Electric,4.2,51.0,1399000.0,1655999.9999999998, Nexon EV
Ford,1496.0,22.0, Petrol  Diesel,4.3,146.0,819000.0,1169000.0, EcoSport
Ford,1996.0,14.0, Diesel,4.4,90.0,2999000.0,3625000.0, Endeavour
Ford,1499.0,24.0, Petrol  Diesel,4.1,952.0,582000.0,836999.9999999999, Figo
Ford,1194.0,24.0, Petrol  Diesel,4.4,313.0,727000.0,902000.0, Freestyle
Ford,1194.0,24.0, Petrol  Diesel,4.3,466.0,727000.0,872000.0000000001, Aspire
Hyundai,1497.0,21.0, Petrol  Diesel,4.3,635.0,999000.0,1770000.0, Creta
Hyundai,1197.0,25.0, Petrol  Diesel,4.2,486.0,685000.0,1134000.0, i20
Hyundai,998.0,24.0, Petrol  Diesel,4.2,661.0,692000.0,1176000.0, Venue
Hyundai,1497.0,25.0, Petrol  Diesel,4.3,551.0,919000.0,1525000.0, Verna
Hyundai,1197.0,25.0, Petrol  Diesel  CNG,4.3,133.0,597000.0,935000.0, Aura
Hyundai,1086.0,20.0, Petrol  CNG,3.9,1176.0,473000.00000000006,641000.0, Santro
Hyundai,1493.0,15.0, Petrol  Diesel,4.2,89.0,1785000.0000000002,2112000.0, Elantra
Hyundai,1999.0,15.0, Petrol  Diesel,4.3,11.0,2257000.0,2735000.0, Tucson
Hyundai,2000.0,, Electric,4.3,27.0,2377000.0,2396000.0, Kona Electric
Hyundai,1197.0,15.0, Petrol  CNG,4.2,6.0,639000.0,719000.0, Xcent Prime
Hyundai,1186.0,26.0, Petrol  Diesel  CNG,4.2,288.0,523000.00000000006,844999.9999999999, Grand i10 Nios
Toyota,2694.0,, Petrol  Diesel,4.3,87.0,3034000.0,3830000.0, Fortuner
Toyota,2694.0,, Petrol  Diesel,4.4,117.0,1652000.0,2459000.0, Innova Crysta
Toyota,2487.0,19.0, Petrol,4.6,47.0,4059000.000000001,, Camry
Toyota,1496.0,18.0, Petrol,4.1,98.0,916000.0,1460000.0, Yaris
Toyota,2494.0,16.0, Petrol,4.7,13.0,8990000.0,, Vellfire
Toyota,1197.0,24.0, Petrol,4.2,139.0,734000.0,930000.0, Glanza
Toyota,1462.0,19.0, Petrol,4.2,30.0,861999.9999999999,1140000.0, Urban Cruiser
Kia,1497.0,21.0, Petrol  Diesel,4.4,755.0,995000.0,1764999.9999999998, Seltos
Kia,1197.0,24.0, Petrol  Diesel,4.3,241.0,679000.0,1335000.0, Sonet
Kia,2199.0,14.0, Diesel,4.5,101.0,2495000.0,3395000.0000000005, Carnival
